group_id,count,mean_spectral_integral,sample_stddev_spectral_integral,coefficient_of_variation,max_pair_delta_u_prime_v_prime,max_shape_relative_l2,variation_label
ramp_patch_01,3,0.74771404666666663,0.16348714104141321,0.21864928413508367,0.0028519486388656132,0.01075914397243751,within_group_observed_variation
ramp_patch_02,3,1.68637824,0.026553443102573279,0.015745840685523361,0.0003203579826077042,0.0029279612735278685,within_group_observed_variation
ramp_patch_03,3,2.0041297199999999,0.27296647334089008,0.13620199861159191,0.000249631631724371,0.0035154361595422234,within_group_observed_variation
ramp_patch_04,3,1.8747882933333333,0.27382761213833806,0.14605788456865093,0.00082219430126144542,0.0050670659949370147,within_group_observed_variation
ramp_patch_05,3,1.1772027666666667,0.4902708534594119,0.41647103399837282,0.0015916332999312346,0.0070649729647122876,within_group_observed_variation
ramp_patch_06,3,2.0030510600000002,0.14357227638958858,0.071676793096621588,0.0013819214734248338,0.0059068108413314908,within_group_observed_variation
ramp_patch_07,2,3.0470060000000001,0.0045953455495752324,0.0015081511324806162,0.00080833811153035572,0.0034683755889880433,within_group_observed_variation
ramp_patch_08,2,2.90290326,0.13078440549646292,0.045052967247852044,0.00041040575705292,0.0023963710848115601,within_group_observed_variation
ramp_patch_09,2,2.90709843,0.054848250691246443,0.018867008466323738,0.00015661132628699666,0.0040077105665172804,within_group_observed_variation
ramp_patch_10,3,1.4058931133333334,0.092828507788729073,0.066028140338944594,0.00031707533710768313,0.0037579582156399231,within_group_observed_variation
ramp_patch_11,3,0.8042247733333332,0.048261060163097648,0.06000941747052415,0.00014458972059038159,0.0037896824583172951,within_group_observed_variation
ramp_patch_12,3,1.8211919066666666,0.44919387362558377,0.24664829224271304,0.0003897864974015719,0.0044113938901204986,within_group_observed_variation
ramp_patch_13,3,2.4489234799999999,0.26788477295318081,0.10938878864160378,0.00071886487384139729,0.0049703998536200968,within_group_observed_variation
ramp_patch_14,3,2.2875104866666667,0.17705792089453948,0.077402014953184411,0.00080822599816651286,0.0056139356223425295,within_group_observed_variation
ramp_patch_15,3,1.2714874066666666,0.32472259657427377,0.25538797700369448,0.00179670459246813,0.0083331479734406137,within_group_observed_variation
reference_prd,2,3.1738987999999999,0.024299300271406889,0.0076559782786416791,1.7927249339955939e-05,0.00061032355956085129,within_group_observed_variation
scene_01,2,1.432015,0.11375368210304221,0.07943609676088742,0.00051266303512585481,0.003609373952375876,within_group_observed_variation
scene_02,2,1.4519742,0.063292845141295379,0.043590888282515887,0.00056953369652060139,0.0051778459025589516,within_group_observed_variation
scene_03,2,1.2222132000000001,0.11708160945801865,0.095794751241451689,0.00068927130466516862,0.0049548285403743291,within_group_observed_variation
scene_04,2,1.6136793,0.06097650474748452,0.037787251003024283,0.00065003467939966453,0.0062168184032027609,within_group_observed_variation
scene_05,2,1.6373817000000002,0.0932463126564263,0.056948427270456417,0.00058227960748916715,0.005915840245596193,within_group_observed_variation
scene_06,2,1.29542242,0.17423702229705604,0.13450208951691298,0.00060535856350654239,0.00252268870728876,within_group_observed_variation
scene_07,2,1.7337111999999999,0.12619904429463796,0.072791272441821903,0.0011428038463104041,0.0076726188461153626,within_group_observed_variation
scene_08,2,1.7433797,0.086760446416670828,0.049765662876922814,0.0011808603200586939,0.0086745002985166124,within_group_observed_variation
scene_09,2,1.3191381999999998,0.18765991718723532,0.14225948212797973,0.00096099284910740508,0.0053665075460169109,within_group_observed_variation
scene_10,2,1.7673725999999998,0.067634480777780795,0.038268376899008617,0.0014383768061016927,0.010429075611083069,within_group_observed_variation
scene_11,2,1.7466208999999999,0.12900668248001723,0.073860722999488468,0.0010579296330418177,0.0094795007953062792,within_group_observed_variation
scene_12,2,1.2948542199999999,0.19613640215311584,0.15147373281381116,0.00070297699331668109,0.0027086746710288157,within_group_observed_variation
scene_13,2,1.6906905000000001,0.097204130732083616,0.057493746331503968,0.00077012540743164938,0.0079129974717434739,within_group_observed_variation
scene_14,2,1.7487224000000001,0.074225564506576872,0.042445596000015136,0.00070558921933119964,0.0089483403565439514,within_group_observed_variation
scene_15,2,1.3231944,0.19329838666041693,0.14608464686701889,0.0010371155182987066,0.005709652694902638,within_group_observed_variation
scene_16,2,1.6806204,0.075146500378394168,0.044713547674652868,0.00046166443460111462,0.0055648200059158718,within_group_observed_variation
scene_17,2,1.6118443999999998,0.098826657952194211,0.061312778052394025,0.00080332982594969967,0.0079809349413850136,within_group_observed_variation
scene_18,2,1.2160852900000001,0.16286777763147681,0.13392792345303084,0.00082685423440085194,0.0053140368776241915,within_group_observed_variation
scene_19,2,1.5349918,0.097709429237919532,0.06365469133966678,0.00056797065039896775,0.0051701474209348754,within_group_observed_variation
scene_20,2,1.5089458000000002,0.026404781423068048,0.017498826944657684,0.00045490325790717732,0.004148567687190575,within_group_observed_variation
scene_21,2,1.22357699,0.13377132353514412,0.10932808039741261,0.00059735464420645904,0.0044334812210650486,within_group_observed_variation
scene_22,1,1.3050029999999999,,,,,not_established_single_measurement
scene_23,1,1.4226144000000001,,,,,not_established_single_measurement
scene_24,1,1.22197512,,,,,not_established_single_measurement
